epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.506,1.7414,3.38227,1.70111,0.01371,0.56753,0.04775,0.02646,1.3347,3.22005,1.3449,0.0021,0.0021,0.0811
2,172.349,1.43826,2.36391,1.39492,0.0242,0.88689,0.64456,0.41002,1.14895,2.69072,1.22045,0.00425743,0.00425743,0.0612574
3,259.407,1.41005,1.73661,1.3326,0.86499,0.09956,0.60406,0.36607,1.20272,2.63951,1.21501,0.0063713,0.0063713,0.0413713
4,341.449,1.36264,1.59857,1.29236,0.94347,0.19612,0.64416,0.39553,1.22587,2.50281,1.22846,0.00844161,0.00844161,0.0214416
5,427.238,1.39966,1.4995,1.31331,0.82326,0.75232,0.80032,0.50695,1.20556,1.65551,1.18583,0.009604,0.009604,0.009604
6,508.85,1.36764,1.55667,1.30693,0.76364,0.68684,0.75954,0.46892,1.22172,1.66618,1.20784,0.009505,0.009505,0.009505
7,591.744,1.32276,1.40307,1.25606,0.74868,0.78195,0.76899,0.49524,1.18392,1.27443,1.22085,0.009406,0.009406,0.009406
8,669.927,1.26494,1.28655,1.24237,0.78173,0.81578,0.8508,0.56573,1.09606,1.19248,1.17663,0.009307,0.009307,0.009307
9,742.879,1.30747,1.3443,1.27036,0.76702,0.82516,0.82422,0.5609,1.11555,1.13056,1.17732,0.009208,0.009208,0.009208
10,827.549,1.29402,1.28451,1.252,0.83232,0.77477,0.8546,0.56753,1.14944,1.14412,1.18465,0.009109,0.009109,0.009109
11,910.976,1.26651,1.16239,1.23861,0.7958,0.83361,0.83101,0.53513,1.15009,1.09591,1.16549,0.00901,0.00901,0.00901
12,991.501,1.28472,1.23833,1.23832,0.80533,0.85322,0.87817,0.59723,1.06808,1.0477,1.14758,0.008911,0.008911,0.008911
13,1073.41,1.23248,1.16829,1.22739,0.76899,0.82987,0.87161,0.57072,1.07547,1.05673,1.14246,0.008812,0.008812,0.008812
14,1153.1,1.18638,1.16138,1.20558,0.76859,0.82424,0.83885,0.56147,1.07182,1.01634,1.15458,0.008713,0.008713,0.008713
15,1231.07,1.19059,1.07836,1.18554,0.81504,0.81799,0.82137,0.56232,1.0417,1.039,1.14201,0.008614,0.008614,0.008614
16,3276.92,1.2068,1.12084,1.21893,0.79259,0.86629,0.86118,0.5933,1.02938,0.99978,1.12153,0.008515,0.008515,0.008515
17,4241.04,1.18805,1.04669,1.18088,0.77855,0.892,0.8619,0.57654,1.09511,0.96112,1.13403,0.008416,0.008416,0.008416
18,4324.09,1.17196,1.0404,1.18088,0.79862,0.82216,0.84288,0.55635,1.08607,1.02312,1.13917,0.008317,0.008317,0.008317
19,4400.05,1.171,1.04911,1.19018,0.82189,0.883,0.89003,0.61366,1.01597,0.89094,1.10068,0.008218,0.008218,0.008218
20,4473.52,1.17231,1.02695,1.19152,0.85893,0.82893,0.88835,0.61412,1.02842,0.90872,1.09411,0.008119,0.008119,0.008119
21,4546.82,1.15461,1.05398,1.18104,0.8534,0.82492,0.85144,0.5942,1.04234,0.95315,1.09369,0.00802,0.00802,0.00802
22,4623.08,1.11921,0.99265,1.15178,0.80165,0.85067,0.84444,0.56914,1.06401,0.90631,1.10826,0.007921,0.007921,0.007921
23,4714.83,1.15178,1.01258,1.17452,0.84336,0.83154,0.88715,0.61114,0.99239,0.90722,1.10369,0.007822,0.007822,0.007822
24,4806.37,1.15494,0.99465,1.17861,0.83562,0.86449,0.89426,0.60876,1.03756,0.86461,1.11974,0.007723,0.007723,0.007723
25,4883.21,1.15075,0.95929,1.16233,0.8202,0.87355,0.90069,0.61421,1.03697,0.84948,1.09282,0.007624,0.007624,0.007624
26,4964.47,1.10991,0.94447,1.16204,0.84422,0.87393,0.91087,0.64521,0.99457,0.77381,1.09894,0.007525,0.007525,0.007525
27,5058.01,1.11369,0.92511,1.17632,0.85737,0.88595,0.918,0.65975,0.97312,0.767,1.08663,0.007426,0.007426,0.007426
28,7270.2,1.13772,0.95007,1.17677,0.85242,0.88359,0.91029,0.63452,1.03204,0.80917,1.12044,0.007327,0.007327,0.007327
29,9675.8,1.13593,0.94428,1.1832,0.80508,0.876,0.89697,0.62422,1.00317,0.80868,1.08635,0.007228,0.007228,0.007228
30,12538.7,1.125,0.95507,1.16462,0.85965,0.84531,0.89098,0.62751,0.99374,0.84415,1.09635,0.007129,0.007129,0.007129
31,14956.1,1.12228,0.90838,1.16504,0.82414,0.8123,0.87316,0.61466,0.99156,0.87663,1.11955,0.00703,0.00703,0.00703
32,97353.5,1.11051,0.90308,1.14751,0.8706,0.83814,0.89795,0.63053,0.98325,0.77913,1.08239,0.006931,0.006931,0.006931
33,97472.3,1.10611,0.9329,1.15654,0.84692,0.86077,0.88875,0.63538,0.97766,0.76586,1.09641,0.006832,0.006832,0.006832
34,97550.4,1.09603,0.88558,1.14921,0.83657,0.84786,0.89382,0.64343,0.95204,0.81506,1.08638,0.006733,0.006733,0.006733
35,97634.5,1.08297,0.89935,1.13315,0.84492,0.885,0.92054,0.66162,0.93806,0.75578,1.07233,0.006634,0.006634,0.006634
36,97727.3,1.12183,0.88731,1.1583,0.85979,0.8855,0.90841,0.63976,0.97986,0.75809,1.09644,0.006535,0.006535,0.006535
37,97805,1.07115,0.86391,1.14122,0.85599,0.8895,0.91795,0.64948,0.95652,0.74614,1.07639,0.006436,0.006436,0.006436
38,97882.5,1.07185,0.85188,1.12155,0.81518,0.9206,0.91825,0.64704,0.98775,0.78598,1.10407,0.006337,0.006337,0.006337
39,97956.3,1.08398,0.85595,1.13003,0.86684,0.87886,0.89357,0.64445,0.94437,0.75072,1.0711,0.006238,0.006238,0.006238
40,98038.8,1.05368,0.85421,1.12306,0.80701,0.91054,0.9128,0.65633,0.95977,0.7821,1.0839,0.006139,0.006139,0.006139
41,98122.2,1.06864,0.85296,1.13109,0.87484,0.84596,0.90782,0.65464,0.95505,0.71676,1.07108,0.00604,0.00604,0.00604
42,98198.3,1.08605,0.89016,1.14454,0.8422,0.84486,0.90362,0.654,0.952,0.7805,1.05839,0.005941,0.005941,0.005941
43,98278.7,1.06229,0.81701,1.12936,0.86082,0.86792,0.90312,0.63517,1.00265,0.77671,1.07838,0.005842,0.005842,0.005842
44,98361.8,1.05713,0.82311,1.14468,0.81631,0.88441,0.89214,0.63799,0.93952,0.77224,1.07295,0.005743,0.005743,0.005743
45,98435.9,1.04204,0.82443,1.12346,0.87703,0.87957,0.9178,0.65969,0.96196,0.72499,1.07154,0.005644,0.005644,0.005644
46,98516.2,1.06013,0.83103,1.13318,0.84654,0.8763,0.9048,0.64341,0.97715,0.76384,1.06611,0.005545,0.005545,0.005545
47,98592.7,1.03103,0.81467,1.10891,0.84747,0.91662,0.9168,0.67303,0.93252,0.72487,1.05269,0.005446,0.005446,0.005446
48,98668.1,1.05367,0.81357,1.13089,0.88145,0.90376,0.92469,0.67821,0.94012,0.67783,1.0445,0.005347,0.005347,0.005347
49,98741.8,1.03518,0.83643,1.12204,0.86954,0.88239,0.92533,0.6686,0.93851,0.71017,1.05356,0.005248,0.005248,0.005248
50,98817.4,1.04476,0.8059,1.12269,0.88266,0.90585,0.93103,0.67723,0.8956,0.67043,1.04262,0.005149,0.005149,0.005149
51,98891.2,1.0274,0.80208,1.09827,0.81879,0.90427,0.92505,0.66569,0.95914,0.71953,1.06919,0.00505,0.00505,0.00505
52,98965.9,1.03766,0.79574,1.1126,0.84157,0.92733,0.91518,0.66042,0.94851,0.67912,1.06322,0.004951,0.004951,0.004951
53,99046.4,1.03109,0.77598,1.10282,0.85869,0.88924,0.91629,0.66034,0.94201,0.70797,1.05057,0.004852,0.004852,0.004852
54,99124.5,0.9801,0.7326,1.07197,0.85508,0.87332,0.90945,0.65659,0.94658,0.67505,1.06452,0.004753,0.004753,0.004753
55,99207.4,0.97517,0.74479,1.08926,0.85959,0.88613,0.91145,0.65593,0.93913,0.69023,1.06642,0.004654,0.004654,0.004654
56,99283.2,0.98568,0.7398,1.09521,0.80622,0.93369,0.92264,0.67108,0.94455,0.68937,1.0691,0.004555,0.004555,0.004555
57,99358.8,0.98902,0.74649,1.08254,0.86095,0.91654,0.92114,0.67194,0.92961,0.69352,1.06531,0.004456,0.004456,0.004456
58,99439.2,1.00414,0.7724,1.09677,0.85209,0.87126,0.90237,0.65955,0.94481,0.71693,1.07368,0.004357,0.004357,0.004357
59,99515.2,0.99599,0.76691,1.09654,0.84481,0.86585,0.91113,0.66423,0.96053,0.72995,1.0809,0.004258,0.004258,0.004258
60,99590.5,0.99743,0.76626,1.08427,0.84939,0.90636,0.91034,0.67049,0.91454,0.68944,1.06882,0.004159,0.004159,0.004159
61,99664.3,0.96931,0.74527,1.08214,0.84405,0.9051,0.90922,0.67237,0.9,0.67576,1.04444,0.00406,0.00406,0.00406
62,99738.5,0.9904,0.7371,1.08839,0.86197,0.89716,0.91089,0.6709,0.88446,0.69734,1.0449,0.003961,0.003961,0.003961
63,99813,0.96978,0.73078,1.06624,0.87615,0.90739,0.92634,0.67906,0.90947,0.66445,1.04981,0.003862,0.003862,0.003862
64,99885.3,0.9518,0.71302,1.07251,0.88812,0.90473,0.91143,0.67235,0.90354,0.65045,1.04596,0.003763,0.003763,0.003763
65,99960.5,0.97853,0.7481,1.09363,0.88447,0.89505,0.90811,0.66118,0.93574,0.66463,1.0562,0.003664,0.003664,0.003664
66,100035,0.97598,0.73576,1.06845,0.90001,0.88158,0.93595,0.68951,0.91037,0.65143,1.04988,0.003565,0.003565,0.003565
67,100117,0.98234,0.7483,1.08699,0.88491,0.88542,0.92809,0.67288,0.93442,0.66261,1.0499,0.003466,0.003466,0.003466
68,100192,0.9804,0.74776,1.08802,0.86941,0.87883,0.91212,0.66942,0.91861,0.68473,1.04482,0.003367,0.003367,0.003367
69,100268,0.93867,0.71091,1.06597,0.87238,0.89362,0.92167,0.671,0.93757,0.67392,1.05777,0.003268,0.003268,0.003268
70,100344,0.93405,0.69637,1.07086,0.87467,0.91044,0.94116,0.70097,0.89902,0.62975,1.04259,0.003169,0.003169,0.003169
71,100420,0.96183,0.70549,1.08045,0.86876,0.9013,0.93111,0.67903,0.95664,0.64263,1.0585,0.00307,0.00307,0.00307
72,100493,0.95905,0.71653,1.07416,0.87377,0.90172,0.92146,0.68268,0.89577,0.63266,1.02935,0.002971,0.002971,0.002971
73,100567,0.97734,0.70744,1.07605,0.86231,0.90806,0.91534,0.6676,0.90421,0.6394,1.03467,0.002872,0.002872,0.002872
