epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.06943,2.66038,3.66587,2.64806,0.00668,0.19549,0.00289,0.00072,2.45168,3.6794,2.62305,0.0001,0.0001,0.0991
2,9.60503,2.62666,3.62685,2.63349,0.01002,0.29323,0.00561,0.00146,2.4344,3.67497,2.61089,0.00029703,0.00029703,0.097297
3,14.2144,2.33563,3.52337,2.45651,0.01162,0.31955,0.01276,0.00303,2.32404,3.63037,2.5366,0.0004901,0.0004901,0.0954901
4,18.5835,2.18855,3.63066,2.3533,0.01318,0.34586,0.01998,0.00693,2.19565,3.60115,2.40565,0.00067921,0.00067921,0.0936792
5,23.5241,1.91355,3.50586,2.08898,0.01001,0.29323,0.05815,0.03002,2.12213,3.54977,2.30427,0.00086436,0.00086436,0.0918644
6,28.0793,1.7478,3.31418,1.95655,0.00991,0.24812,0.05726,0.03554,2.01281,3.46142,2.16823,0.00104555,0.00104555,0.0900456
7,32.8254,1.61304,3.32192,1.85205,0.01988,0.54135,0.05631,0.02712,1.89808,3.34035,1.97472,0.00122278,0.00122278,0.0882228
8,36.9281,1.53492,3.20035,1.65486,0.0248,0.6203,0.05444,0.02186,1.75727,3.21094,1.7859,0.00139605,0.00139605,0.0863961
9,41.1731,1.45741,2.91814,1.57828,0.01339,0.43609,0.0409,0.01281,1.71409,3.16372,1.73263,0.00156536,0.00156536,0.0845654
10,45.4038,1.36492,2.87807,1.49377,0.01666,0.53383,0.03463,0.01138,1.67185,3.13472,1.73958,0.00173071,0.00173071,0.0827307
11,49.2575,1.49244,2.6182,1.61559,0.01333,0.43609,0.0397,0.01007,1.69695,3.09095,1.79073,0.0018921,0.0018921,0.0808921
12,53.9755,1.44209,2.49591,1.49743,0.01823,0.60526,0.07051,0.0173,1.62418,3.02747,1.7489,0.00204953,0.00204953,0.0790495
13,58.6413,1.54526,2.30495,1.6203,0.03467,0.82331,0.23059,0.08619,1.55269,2.90093,1.72343,0.002203,0.002203,0.077203
14,64.7272,1.37395,1.97517,1.45618,0.0358,0.84962,0.28646,0.12914,1.62004,2.77682,1.75666,0.00235251,0.00235251,0.0753525
15,70.4569,1.52765,1.77661,1.63636,0.03726,0.92105,0.37585,0.15487,1.69919,2.63644,1.80374,0.00249806,0.00249806,0.0734981
16,75.3233,1.43228,1.71448,1.45072,0.64328,0.42105,0.42723,0.24756,1.64348,2.46435,1.75111,0.00263965,0.00263965,0.0716396
17,80.0209,1.27047,1.48684,1.36259,1,0.18828,0.45648,0.26758,1.67069,2.33993,1.75875,0.00277728,0.00277728,0.0697773
18,84.042,1.20224,1.30888,1.3483,0.98599,0.21053,0.53842,0.32609,1.49445,2.27366,1.61638,0.00291095,0.00291095,0.067911
19,88.4845,1.3104,1.25523,1.37038,0.95053,0.23988,0.60963,0.34944,1.64643,2.37824,1.72154,0.00304066,0.00304066,0.0660407
20,93.0035,1.38693,1.39607,1.43344,0.80053,0.42105,0.52115,0.32987,1.58167,2.31691,1.70579,0.00316641,0.00316641,0.0641664
21,97.629,1.25928,1.19029,1.32326,0.7342,0.44737,0.53281,0.32075,1.51389,2.37114,1.65872,0.0032882,0.0032882,0.0622882
22,101.495,1.19636,1.24312,1.36538,0.03872,0.87594,0.55056,0.36411,1.55,2.45762,1.63471,0.00340603,0.00340603,0.060406
23,105.72,1.2054,1.1432,1.26702,0.60524,0.44737,0.61999,0.38828,1.57953,2.38694,1.62799,0.0035199,0.0035199,0.0585199
24,109.573,1.05535,1.08826,1.23602,0.62191,0.42105,0.67232,0.46951,1.41465,2.3961,1.57114,0.00362981,0.00362981,0.0566298
25,113.727,1.18821,1.13148,1.22298,0.04521,0.87594,0.67758,0.44196,1.35066,2.41485,1.51768,0.00373576,0.00373576,0.0547358
26,118.243,1.13254,1.05942,1.23399,0.69075,0.44737,0.69007,0.44545,1.48936,2.3817,1.57768,0.00383775,0.00383775,0.0528378
27,122.134,1.45963,1.21778,1.34739,0.74443,0.44737,0.67676,0.39928,1.57091,2.38173,1.67465,0.00393578,0.00393578,0.0509358
28,126.046,1.17077,1.0626,1.18091,0.74443,0.44737,0.67676,0.39928,1.57091,2.38173,1.67465,0.00402985,0.00402985,0.0490298
29,129.888,1.17804,1.22843,1.31244,0.98478,0.31579,0.69668,0.42896,1.47639,2.32314,1.5495,0.00411996,0.00411996,0.04712
30,134.498,1.11786,1.11876,1.35521,0.83554,0.50572,0.67943,0.43969,1.51681,2.31106,1.56178,0.00420611,0.00420611,0.0452061
31,139.375,1.02635,1.01817,1.19159,0.83554,0.50572,0.67943,0.43969,1.51681,2.31106,1.56178,0.0042883,0.0042883,0.0432883
32,143.414,1.25474,1.09192,1.2473,1,0.29727,0.75279,0.49184,1.46247,2.15164,1.49948,0.00436653,0.00436653,0.0413665
33,147.461,1.23062,1.09663,1.36927,0.73509,0.4116,0.73462,0.48185,1.39273,2.21852,1.42574,0.0044408,0.0044408,0.0394408
34,151.441,1.06539,0.96983,1.26381,0.73509,0.4116,0.73462,0.48185,1.39273,2.21852,1.42574,0.00451111,0.00451111,0.0375111
35,156.014,1.20479,1.10508,1.30391,0.80993,0.5824,0.75428,0.5162,1.28439,1.99096,1.35318,0.00457746,0.00457746,0.0355775
36,160.303,1.20471,1.03152,1.38376,0.81182,0.60864,0.74781,0.44044,1.54521,2.02505,1.45171,0.00463985,0.00463985,0.0336398
37,164.704,1.15455,1.00521,1.30563,0.81182,0.60864,0.74781,0.44044,1.54521,2.02505,1.45171,0.00469828,0.00469828,0.0316983
38,169.401,1.09616,1.09735,1.18335,0.7034,0.71805,0.71895,0.50099,1.17615,1.86672,1.27961,0.00475275,0.00475275,0.0297527
39,175.906,1.52358,1.44193,1.5804,0.74708,0.74436,0.76699,0.51127,1.38294,1.6605,1.36884,0.00480326,0.00480326,0.0278033
40,180.405,1.10214,0.91491,1.17525,0.74708,0.74436,0.76699,0.51127,1.38294,1.6605,1.36884,0.00484981,0.00484981,0.0258498
41,184.87,1.12912,0.96469,1.22867,0.87354,0.76217,0.74759,0.55084,1.11453,1.64361,1.22699,0.0048924,0.0048924,0.0238924
42,189.292,1.06264,0.98207,1.19691,0.88,0.77068,0.77344,0.53955,1.36992,1.56279,1.3004,0.00493103,0.00493103,0.021931
43,193.973,1.16989,1.03026,1.30674,0.88,0.77068,0.77344,0.53955,1.36992,1.56279,1.3004,0.0049657,0.0049657,0.0199657
44,198.469,1.09111,0.95347,1.19422,0.80699,0.77068,0.75516,0.5759,1.13331,1.59455,1.24069,0.00499641,0.00499641,0.0179964
45,203.111,1.15964,0.91212,1.23811,0.80699,0.77068,0.75516,0.5759,1.13331,1.59455,1.24069,0.00502316,0.00502316,0.0160232
46,207.506,1.06832,0.91074,1.19298,0.86996,0.77068,0.84259,0.54566,1.43944,1.51288,1.34781,0.00504595,0.00504595,0.0140459
47,212.435,0.98831,0.87609,1.12727,0.86996,0.77068,0.84259,0.54566,1.43944,1.51288,1.34781,0.00506478,0.00506478,0.0120648
