epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.588,2.26706,2.39946,2.23077,0.79983,0.76669,0.81433,0.54643,1.21946,1.22893,1.30793,0.000330808,0.000330808,0.06725
2,437.96,2.1766,2.34938,2.17527,0.67296,0.67277,0.69919,0.4039,1.29334,1.60489,1.41643,0.000642004,0.000642004,0.0342279
3,648.4,2.13482,2.37566,2.12598,0.63716,0.69712,0.71371,0.45292,1.26547,1.59492,1.38227,0.000930977,0.000930977,0.0011835
4,851.506,2.11273,2.37045,2.10115,0.74724,0.76567,0.80047,0.53152,1.18141,1.40634,1.29096,0.000900001,0.000900001,0.000900001
5,1047.1,2.10441,2.3332,2.10184,0.79727,0.76401,0.81287,0.53985,1.18199,1.30056,1.31061,0.000866668,0.000866668,0.000866668
6,1254.09,2.06293,2.33145,2.07692,0.71484,0.70551,0.75329,0.49461,1.16652,1.38689,1.29707,0.000833335,0.000833335,0.000833335
7,1461.91,2.01962,2.28338,2.0376,0.85957,0.75522,0.84042,0.58331,1.12289,1.23911,1.27984,0.000800002,0.000800002,0.000800002
8,2289.93,1.98404,2.26402,2.02113,0.79673,0.82547,0.84167,0.57341,1.09335,1.21569,1.26072,0.000766669,0.000766669,0.000766669
9,3752.21,1.94562,2.19003,1.97106,0.80198,0.78407,0.81415,0.54674,1.13778,1.26623,1.27102,0.000733336,0.000733336,0.000733336
10,3959.78,1.96575,2.23677,1.99636,0.79724,0.79672,0.84916,0.57934,1.11943,1.38413,1.27838,0.000700003,0.000700003,0.000700003
11,4179.34,1.91138,2.19978,1.95214,0.82989,0.84024,0.85485,0.59027,1.05923,1.23614,1.25666,0.00066667,0.00066667,0.00066667
12,4412.71,1.9186,2.21779,1.97734,0.81263,0.7997,0.8498,0.5847,1.09883,1.08439,1.24797,0.000633337,0.000633337,0.000633337
13,4629.25,1.89587,2.20343,1.95941,0.81708,0.76495,0.8359,0.56252,1.09862,1.26693,1.2617,0.000600004,0.000600004,0.000600004
14,4846.49,1.89366,2.18802,1.94716,0.78884,0.84581,0.85478,0.58974,1.06357,1.13436,1.22864,0.000566671,0.000566671,0.000566671
15,5062.52,1.88139,2.16123,1.94062,0.82084,0.82142,0.88235,0.615,1.05792,1.03571,1.21662,0.000533338,0.000533338,0.000533338
16,5278.49,1.84766,2.14223,1.9216,0.73114,0.81153,0.82148,0.573,1.04593,1.17503,1.2432,0.000500005,0.000500005,0.000500005
17,5495.3,1.82858,2.09896,1.89661,0.8354,0.82248,0.87044,0.62938,1.00291,1.00551,1.18903,0.000466672,0.000466672,0.000466672
18,5715.44,1.81993,2.10833,1.89025,0.76207,0.79521,0.80667,0.5628,1.01799,1.08904,1.22409,0.000433339,0.000433339,0.000433339
19,5933.75,1.8354,2.10712,1.88355,0.82096,0.80861,0.87111,0.62769,0.98526,1.04568,1.17932,0.000400006,0.000400006,0.000400006
20,6152.2,1.80032,2.06354,1.85949,0.70007,0.81502,0.81868,0.57135,1.01019,1.08372,1.19732,0.000366673,0.000366673,0.000366673
21,6366.14,1.73652,2.08616,1.88008,0.80638,0.85112,0.88568,0.62677,0.99118,0.95084,1.17866,0.00033334,0.00033334,0.00033334
22,6581.22,1.71512,2.05687,1.86906,0.79314,0.87582,0.87123,0.60613,1.02084,0.96576,1.1937,0.000300007,0.000300007,0.000300007
23,6801.01,1.69883,2.0362,1.84891,0.81481,0.87942,0.8771,0.62602,0.99609,0.89784,1.17944,0.000266674,0.000266674,0.000266674
24,7015.3,1.68181,2.07244,1.85348,0.80619,0.86654,0.88241,0.63358,0.97702,0.88509,1.171,0.000233341,0.000233341,0.000233341
25,7230.66,1.67782,2.02656,1.84339,0.83404,0.87885,0.89327,0.63769,0.99307,0.9192,1.18029,0.000200008,0.000200008,0.000200008
26,7446.54,1.65682,1.98973,1.82124,0.82019,0.85321,0.87633,0.63396,0.96093,0.91269,1.15796,0.000166675,0.000166675,0.000166675
27,7663.73,1.66035,1.99736,1.81556,0.84959,0.85274,0.89877,0.64073,0.99762,0.85704,1.17094,0.000133342,0.000133342,0.000133342
28,7872.15,1.62843,1.9784,1.80219,0.79876,0.87796,0.88177,0.63907,0.95913,0.89567,1.16229,0.000100009,0.000100009,0.000100009
29,8086.04,1.63134,1.9716,1.79344,0.81134,0.8607,0.88833,0.64209,0.97814,0.88813,1.16489,6.6676e-05,6.6676e-05,6.6676e-05
30,8299.7,1.61922,1.97557,1.79735,0.81341,0.87012,0.89276,0.64791,0.96502,0.86524,1.16105,3.3343e-05,3.3343e-05,3.3343e-05
